number,timestamp,txCount,label,interval
189,2025-06-30 13:34:30,17,1,30.0
90,2025-06-30 12:45:00,3,0,30.0
136,2025-06-30 13:08:00,12,1,30.0
51,2025-06-30 12:25:30,3,0,30.0
127,2025-06-30 13:03:30,23,1,30.0
162,2025-06-30 13:21:00,14,1,30.0
41,2025-06-30 12:20:30,2,0,30.0
118,2025-06-30 12:59:00,10,1,30.0
113,2025-06-30 12:56:30,15,1,30.0
26,2025-06-30 12:13:00,2,0,30.0
139,2025-06-30 13:09:30,10,1,30.0
100,2025-06-30 12:50:00,24,1,30.0
111,2025-06-30 12:55:30,17,1,30.0
2,2025-06-30 12:01:00,3,0,30.0
77,2025-06-30 12:38:30,1,0,30.0
46,2025-06-30 12:23:00,4,0,30.0
187,2025-06-30 13:33:30,20,1,30.0
191,2025-06-30 13:35:30,15,1,30.0
85,2025-06-30 12:42:30,3,0,30.0
161,2025-06-30 13:20:30,24,1,30.0
36,2025-06-30 12:18:00,1,0,30.0
190,2025-06-30 13:35:00,20,1,30.0
61,2025-06-30 12:30:30,2,0,30.0
22,2025-06-30 12:11:00,2,0,30.0
141,2025-06-30 13:10:30,11,1,30.0
101,2025-06-30 12:50:30,16,1,30.0
33,2025-06-30 12:16:30,1,0,30.0
11,2025-06-30 12:05:30,1,0,30.0
194,2025-06-30 13:37:00,17,1,30.0
159,2025-06-30 13:19:30,20,1,30.0
6,2025-06-30 12:03:00,3,0,30.0
27,2025-06-30 12:13:30,1,0,30.0
120,2025-06-30 13:00:00,11,1,30.0
4,2025-06-30 12:02:00,1,0,30.0
32,2025-06-30 12:16:00,3,0,30.0
142,2025-06-30 13:11:00,24,1,30.0
145,2025-06-30 13:12:30,10,1,30.0
109,2025-06-30 12:54:30,18,1,30.0
144,2025-06-30 13:12:00,10,1,30.0
10,2025-06-30 12:05:00,2,0,30.0
62,2025-06-30 12:31:00,3,0,30.0
112,2025-06-30 12:56:00,19,1,30.0
146,2025-06-30 13:13:00,10,1,30.0
166,2025-06-30 13:23:00,10,1,30.0
0,2025-06-30 12:00:00,2,0,0.0
198,2025-06-30 13:39:00,10,1,30.0
153,2025-06-30 13:16:30,10,1,30.0
70,2025-06-30 12:35:00,1,0,30.0
123,2025-06-30 13:01:30,22,1,30.0
64,2025-06-30 12:32:00,2,0,30.0
44,2025-06-30 12:22:00,3,0,30.0
163,2025-06-30 13:21:30,10,1,30.0
28,2025-06-30 12:14:00,2,0,30.0
40,2025-06-30 12:20:00,1,0,30.0
108,2025-06-30 12:54:00,22,1,30.0
155,2025-06-30 13:17:30,18,1,30.0
156,2025-06-30 13:18:00,11,1,30.0
25,2025-06-30 12:12:30,1,0,30.0
23,2025-06-30 12:11:30,2,0,30.0
184,2025-06-30 13:32:00,15,1,30.0
147,2025-06-30 13:13:30,24,1,30.0
81,2025-06-30 12:40:30,4,0,30.0
39,2025-06-30 12:19:30,1,0,30.0
168,2025-06-30 13:24:00,17,1,30.0
47,2025-06-30 12:23:30,4,0,30.0
94,2025-06-30 12:47:00,2,0,30.0
154,2025-06-30 13:17:00,17,1,30.0
