number,timestamp,txCount,label,interval
95,2025-06-30 12:47:30,2,0,30.0
15,2025-06-30 12:07:30,3,0,30.0
30,2025-06-30 12:15:00,3,0,30.0
158,2025-06-30 13:19:00,23,1,30.0
128,2025-06-30 13:04:00,18,1,30.0
115,2025-06-30 12:57:30,14,1,30.0
69,2025-06-30 12:34:30,3,0,30.0
170,2025-06-30 13:25:00,20,1,30.0
174,2025-06-30 13:27:00,17,1,30.0
45,2025-06-30 12:22:30,2,0,30.0
66,2025-06-30 12:33:00,1,0,30.0
182,2025-06-30 13:31:00,11,1,30.0
165,2025-06-30 13:22:30,12,1,30.0
78,2025-06-30 12:39:00,4,0,30.0
186,2025-06-30 13:33:00,17,1,30.0
177,2025-06-30 13:28:30,21,1,30.0
56,2025-06-30 12:28:00,2,0,30.0
152,2025-06-30 13:16:00,19,1,30.0
82,2025-06-30 12:41:00,2,0,30.0
68,2025-06-30 12:34:00,1,0,30.0
124,2025-06-30 13:02:00,14,1,30.0
16,2025-06-30 12:08:00,1,0,30.0
148,2025-06-30 13:14:00,16,1,30.0
93,2025-06-30 12:46:30,3,0,30.0
65,2025-06-30 12:32:30,3,0,30.0
60,2025-06-30 12:30:00,4,0,30.0
84,2025-06-30 12:42:00,3,0,30.0
67,2025-06-30 12:33:30,4,0,30.0
125,2025-06-30 13:02:30,18,1,30.0
132,2025-06-30 13:06:00,17,1,30.0
9,2025-06-30 12:04:30,3,0,30.0
18,2025-06-30 12:09:00,1,0,30.0
55,2025-06-30 12:27:30,3,0,30.0
75,2025-06-30 12:37:30,1,0,30.0
150,2025-06-30 13:15:00,19,1,30.0
104,2025-06-30 12:52:00,11,1,30.0
135,2025-06-30 13:07:30,14,1,30.0
137,2025-06-30 13:08:30,11,1,30.0
164,2025-06-30 13:22:00,23,1,30.0
76,2025-06-30 12:38:00,4,0,30.0
79,2025-06-30 12:39:30,3,0,30.0
197,2025-06-30 13:38:30,17,1,30.0
38,2025-06-30 12:19:00,1,0,30.0
24,2025-06-30 12:12:00,4,0,30.0
122,2025-06-30 13:01:00,10,1,30.0
195,2025-06-30 13:37:30,12,1,30.0
29,2025-06-30 12:14:30,4,0,30.0
19,2025-06-30 12:09:30,2,0,30.0
143,2025-06-30 13:11:30,16,1,30.0
86,2025-06-30 12:43:00,1,0,30.0
114,2025-06-30 12:57:00,14,1,30.0
173,2025-06-30 13:26:30,19,1,30.0
5,2025-06-30 12:02:30,2,0,30.0
126,2025-06-30 13:03:00,16,1,30.0
117,2025-06-30 12:58:30,24,1,30.0
73,2025-06-30 12:36:30,1,0,30.0
140,2025-06-30 13:10:00,16,1,30.0
98,2025-06-30 12:49:00,4,0,30.0
172,2025-06-30 13:26:00,11,1,30.0
96,2025-06-30 12:48:00,3,0,30.0
169,2025-06-30 13:24:30,18,1,30.0
97,2025-06-30 12:48:30,1,0,30.0
31,2025-06-30 12:15:30,1,0,30.0
12,2025-06-30 12:06:00,1,0,30.0
35,2025-06-30 12:17:30,3,0,30.0
119,2025-06-30 12:59:30,14,1,30.0
42,2025-06-30 12:21:00,1,0,30.0
